#Supplementary Data 1. Drug-disease annotations and proximity values of drugs to diseases, pathways and side effects.							
Disease	Drug	Drugbank ID	Palliative	In FDA label	Relative Efficacy (RE)	Indication (from DailyMed)	Note
coronary disease	Lovastatin	DB00227	0	1	NA	Therapy with lovastatin tablets USP should be a component of multiple risk factor intervention in those individuals with dyslipidemia at risk for atherosclerotic vascular disease. Lovastatin tablets USP should be used in addition to a diet restricted in saturated fat and cholesterol as part of a treatment strategy to lower total-C and LDL-C to target levels when the response to diet and other nonpharmacological measures alone has been inadequate to reduce risk. Primary Prevention of Coronary Heart Disease In individuals without symptomatic cardiovascular disease, average to moderately elevated total-C and LDL-C and below average HDL-C, lovastatin tablets USP are indicated to reduce the risk of: -Myocardial infarction -Unstable angina -Coronary revascularization procedures (See CLINICAL PHARMACOLOGY, Clinical Studies). Coronary Heart Disease Lovastatin tablets USP are indicated to slow the progression of coronary atherosclerosis in patients with coronary heart disease as part of a treatment strategy to lower total-C and LDL-C to target levels. Hypercholesterolemia Therapy with lipid-altering agents should be a component of multiple risk factor intervention in those individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Lovastatin tablets USP are indicated as an adjunct to diet for the reduction of elevated total-C and LDL-C levels in patients with primary hypercholesterolemia (Types IIa and IIb2), when the response to diet restricted in saturated fat and cholesterol and to other nonpharmacological measures alone has been inadequate. IDL = intermediate-density lipoprotein. Adolescent Patients with Heterozygous Familial Hypercholesterolemia Lovastatin tablets USP are indicated as an adjunct to diet to reduce total-C, LDL-C and apolipoprotein B levels in adolescent boys and girls who are at least one year post-menarche, 10 to 17 years of age, with heFH if after an adequate trial of diet therapy the following findings are present: 1. LDL-C remains >189 mg/dL or 2. LDL-C remains >160 mg/dL and: there is a positive family history of premature cardiovascular disease or two or more other CVD risk factors are present in the adolescent patient General Recommendations Prior to initiating therapy with lovastatin, secondary causes for hypercholesterolemia (e.g., poorly controlled diabetes mellitus, hypothyroidism, nephrotic syndrome, dysproteinemias, obstructive liver disease, other drug therapy, alcoholism) should be excluded, and a lipid profile performed to measure total-C, HDL-C, and TG. For patients with TG less than 400 mg/dL (<4.5 mmol/L), LDL-C can be estimated using the following equation: LDL-C = total-C  [0.2  (TG) + HDL-C] For TG levels >400 mg/dL (>4.5 mmol/L), this equation is less accurate and LDL-C concentrations should be determined by ultracentrifugation. In hypertriglyceridemic patients, LDL-C may be low or normal despite elevated total-C. In such cases, lovastatin tablets USP are not indicated. The National Cholesterol Education Program (NCEP) Treatment Guidelines are summarized below: CHD, coronary heart disease Some authorities recommend use of LDL-lowering drugs in this category if an LDL-C level of <100 mg/dL cannot be achieved by therapeutic lifestyle changes. Others prefer use of drugs that primarily modify triglycerides and HDL-C, e.g., nicotinic acid or fibrate. Clinical judgment also may call for deferring drug therapy in this subcategory. Almost all people with 0 to 1 risk factor have a 10-year risk <10%; thus, 10-year risk assessment in people with 0 to 1 risk factor is not necessary. After the LDL-C goal has been achieved, if the TG is still 200 mg/dL, non-HDL-C (total-C minus HDL-C) becomes a secondary target of therapy. Non-HDL-C goals are set 30 mg/dL higher than LDL-C goals for each risk category. At the time of hospitalization for an acute coronary event, consideration can be given to initiating drug therapy at discharge if the LDL-C is 130 mg/dL (see NCEP Guidelines above). Since the goal of treatment is to lower LDL-C, the NCEP recommends that LDL-C levels be used to initiate and assess treatment response. Only if LDL-C levels are not available, should the total-C be used to monitor therapy. Although lovastatin tablets USP may be useful to reduce elevated LDL-C levels in patients with combined hypercholesterolemia and hypertriglyceridemia where hypercholesterolemia is the major abnormality (Type IIb hyperlipoproteinemia), it has not been studied in conditions where the major abnormality is elevation of chylomicrons, VLDL or IDL (i.e., hyperlipoproteinemia types I, III, IV, or V).2 The NCEP classification of cholesterol levels in pediatric patients with a familial history of hypercholesterolemia or premature cardiovascular disease is summarized below: Children treated with lovastatin in adolescence should be re-evaluated in adulthood and appropriate changes made to their cholesterol-lowering regimen to achieve adult goals for LDL-C.	
coronary disease	Perindopril	DB00790	0	1	NA	ACEON is indicated for the treatment of patients with essential hypertension (1.1) ACEON is indicated for treatment of patients with stable coronary artery disease to reduce the risk of cardiovascular mortality or nonfatal myocardial infarction (1.2)	
coronary disease	Sulfinpyrazone	DB01138	0	0	NA		No corresponding FDA label
coronary disease	Tirofiban	DB00775	0	1	NA	AGGRASTAT is a platelet aggregation inhibitor indicated to reduce the rate of thrombotic cardiovascular events (combined endpoint of death, myocardial infarction, or refractory ischemia/repeat cardiac procedure) in patients with non-ST elevation acute coronary syndrome (NSTE-ACS). (1)	
crohn disease	Cholecalciferol	DB00169	0	0	0,761905	Nifediac CC extended-release tablets are indicated for the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents.	
crohn disease	Mercaptopurine	DB01033	0	0	0,659574	Mercaptopurine tablets are indicated for maintenance therapy of acute lymphatic (lymphocytic, lymphoblastic) leukemia as part of a combination regimen. The response to this agent depends upon the particular subclassification of acute lymphatic leukemia and the age of the patient (pediatric or adult). Mercaptopurine tablets are not effective for prophylaxis or treatment of central nervous system leukemia. Mercaptopurine tablets are not effective in acute myelogenous leukemia, chronic lymphatic leukemia, the lymphomas (including Hodgkins Disease), or solid tumors.	
crohn disease	Methotrexate	DB00563	0	0	0,508772	Neoplastic Diseases Methotrexate is indicated in the treatment of gestational choriocarcinoma, chorio-adenoma destruens and hydatidiform mole. Methotrexate is used in maintenance therapy in combination with other chemotherapeutic agents. Methotrexate is used alone or in combination with other anticancer agents in the treatment of breast cancer, epidermoid cancers of the head and neck, advanced mycosis fungoides (cutaneous T cell lymphoma), and lung cancer, particularly squamous cell and small cell types. Methotrexate is also used in combination with other chemotherapeutic agents in the treatment of advanced stage non-Hodgkins lymphomas. Psoriasis Methotrexate is indicated in the symptomatic control of severe, recalcitrant, disabling psoriasis that is not adequately responsive to other forms of therapy, but only when the diagnosis has been established, as by biopsy and/or after dermatologic consultation. It is important to ensure that a psoriasis flare is not due to an undiagnosed concomitant disease affecting immune responses. Rheumatoid Arthritis including Polyarticular-Course Juvenile Rheumatoid Arthritis Methotrexate is indicated in the management of selected adults with severe, active, rheumatoid arthritis (ACR criteria), or children with active polyarticular-course juvenile rheumatoid arthritis, who have had an insufficient therapeutic response to, or are intolerant of, an adequate trial of first-line therapy including full dose non-steroidal anti-inflammatory agents (NSAIDs). Aspirin, NSAIDs, and/or low dose steroids may be continued, although the possibility of increased toxicity with concomitant use of NSAIDs including salicylates has not been fully explored. (See PRECAUTIONS, Drug Interactions.) Steroids may be reduced gradually in patients who respond to methotrexate. Combined use of methotrexate with gold, penicillamine, hydroxychloroquine, sulfasalazine, or cytotoxic agents, has not been studied and may increase the incidence of adverse effects. Rest and physiotherapy as indicated should be continued.	
crohn disease	Prednisolone	DB00860	0	0	0,769231	Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides, when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal burns, or penetration of foreign bodies.	
crohn disease	Sulfasalazine	DB00795	0	0	0,4	Sulfasalazine tablets are indicated: a)in the treatment of mild to moderate ulcerative colitis, and as adjunctive therapy in severe ulcerative colitis; and b)for the prolongation of the remission period between acute attacks of ulcerative colitis	
dementia	Citalopram	DB00215	0	0	0,851852	Citalopram HBr, USP is indicated for the treatment of depression. The efficacy of Citalopram tablets, USP in the treatment of depression was established in 4-6 week, controlled trials of outpatients whose diagnosis corresponded most closely to the DSM-lll and DSM-lll-R category of major depressive disorder (see ). CLINICAL PHARMACOLOGY A major depressive episode (DSM-IV) implies a prominent and relatively persistent (nearly every day for at least 2 weeks) depressed or dysphoric mood that usually interferes with daily functioning, and includes at least five of the following nine symptoms: depressed mood, loss of interest in usual activities, significant change in weight and/or appetite, insomnia or hypersomnia, psychomotor agitation or retardation, increased fatigue, feelings of guilt or worthlessness, slowed thinking or impaired concentration, a suicide attempt or suicidal ideation. The antidepressant action of Citalopram tablets, USP in hospitalized depressed patients has not been adequately studied. The efficacy of Citalopram tablets, USP in maintaining an antidepressant response for up to 24 weeks following 6 to 8 weeks of acute treatment was demonstrated in two placebo-controlled trials (see ). Nevertheless, the physician who elects to use Citalopram tablets, USP for extended periods should periodically re-evaluate the long-term usefulness of the drug for the individual patient. CLINICAL PHARMACOLOGY	
dementia	Donepezil	DB00843	0	1	0,815047	Donepezil hydrochloride is an acetylcholinesterase inhibitor indicated for the treatment of dementia of the Alzheimers type. Efficacy has been demonstrated in patients with mild, moderate, and severe Alzheimers Disease (1).	Efficacy has been demonstrated in patients with mild, moderate, and severe Alzheimers Disease (1).
dementia	Quetiapine	DB01224	0	0	0,875912	SEROQUEL is an atypical antipsychotic indicated for the: Treatment of schizophrenia (1.1) Adults: Efficacy was established in three 6week clinical trials in patients with schizophrenia ( 14.1 )Adolescents (ages 1317): Efficacy was established in one 6week trial in patients with schizophrenia ( 14.1 ) Acute treatment of manic episodes associated with bipolar I disorder, both as monotherapy and as an adjunct to lithium or divalproex (1.2) Adults: Efficacy was established in two 12week monotherapy trials and in one 3week adjunctive trial in patients with manic episodes associated with bipolar I disorder ( 14.2 )Children and Adolescents (ages 1017): Efficacy was established in one 3week monotherapy trial in patients with manic episodes associated with bipolar I disorder ( 14.2 ) Acute treatment of depressive episodes associated with bipolar disorder (1.2) Adults: Efficacy was established in two 8week trials in patients with bipolar I or II disorder ( 14.2 ) Maintenance treatment of bipolar I disorder as an adjunct to lithium or divalproex (1.2) Adults: Efficacy was established in two maintenance trials in adults ( 14.2 ) SEROQUEL is indicated for the treatment of schizophrenia. The efficacy of SEROQUEL in schizophrenia was established in three 6-week trials in adults and one 6week trial in adolescents (1317 years). The effectiveness of SEROQUEL for the maintenance treatment of schizophrenia has not been systematically evaluated in controlled clinical trials [see Clinical Studies (14.1)]. SEROQUEL is indicated for the acute treatment of manic episodes associated with bipolar I disorder, both as monotherapy and as an adjunct to lithium or divalproex. Efficacy was established in two 12-week monotherapy trials in adults, in one 3-week adjunctive trial in adults, and in one 3-week monotherapy trial in pediatric patients (10-17 years) [see Clinical Studies (14.2)]. SEROQUEL is indicated as monotherapy for the acute treatment of depressive episodes associated with bipolar disorder. Efficacy was established in two 8-week monotherapy trials in adult patients with bipolar I and bipolar II disorder [see Clinical Studies (14.2)]. SEROQUEL is indicated for the maintenance treatment of bipolar I disorder, as an adjunct to lithium or divalproex. Efficacy was established in two maintenance trials in adults. The effectiveness of SEROQUEL as monotherapy for the maintenance treatment of bipolar disorder has not been systematically evaluated in controlled clinical trials [seeClinical Studies (14.2)]. Pediatric schizophrenia and bipolar I disorder are serious mental disorders, however, diagnosis can be challenging. For pediatric schizophrenia, symptom profiles can be variable, and for bipolar I disorder, patients may have variable patterns of periodicity of manic or mixed symptoms. It is recommended that medication therapy for pediatric schizophrenia and bipolar I disorder be initiated only after a thorough diagnostic evaluation has been performed and careful consideration given to the risks associated with medication treatment. Medication treatment for both pediatric schizophrenia and bipolar I disorder is indicated as part of a total treatment program that often includes psychological, educational and social interventions.	
dementia	Risperidone	DB00734	0	0	0,887097	Risperidone tablets are atypical antipsychotic indicated for: Treatment of schizophrenia (1.1) As monotherapy or adjunctive therapy with lithium or valproate, for the treatment of acute manic or mixed episodes associated with Bipolar I Disorder (1.2) Treatment of irritability associated with autistic disorder (1.3)	
dementia	Rivastigmine	DB00989	0	1	0,850932	Rivastigmine tartrate capsules are an acetylcholinesterase inhibitor indicated for treatment of: Mild to moderate dementia of the Alzheimer's type (1.1) Mild to moderate dementia associated with Parkinson's disease (1.2)	
diabetes mellitus	Acarbose	DB00284	0	1	0,888889	Acarbose tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.	
diabetes mellitus	Chlorpropamide	DB00672	0	1	NA	Chlorpropamide tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.	
diabetes mellitus	Gliclazide	DB01120	0	0	0,842857		No corresponding FDA label
diabetes mellitus	Glyburide	DB01016	0	1	0,793162	Glyburide tablets, USP are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.	
diabetes mellitus	Insulin Aspart	DB01306	0	1	0,816777	NovoLog is an insulin analog indicated to improve glycemic control in adults and children with diabetes mellitus ( ). 1.1	
diabetes mellitus	Insulin Lispro	DB00046	0	1	0,752455	Humalog Mix75/25, a mixture of 75% insulin lispro protamine suspension and 25% insulin lispro injection, (rDNA origin), is indicated in the treatment of patients with diabetes mellitus for the control of hyperglycemia. Humalog Mix75/25 has a more rapid onset of glucoselowering activity compared with Humulin 70/30 while having a similar duration of action. This profile is achieved by combining the rapid onset of Humalog with the intermediate action of insulin lispro protamine suspension.	
diabetes mellitus	Metformin	DB00331	0	1	0,746879	Metformin hydrochloride tablets is indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 2 diabetes mellitus.	
diabetes mellitus	Miglitol	DB00491	0	1	0,978261	GLYSET is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.	
diabetes mellitus	Nateglinide	DB00731	0	1	0,840678	Starlix (nateglinide) is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.	
diabetes mellitus	Orlistat	DB01083	0	0	NA	XENICAL is a reversible inhibitor of gastrointestinal lipases indicated for obesity management including weight loss and weight maintenance when used in conjunction with a reduced-calorie diet. (1) XENICAL is also indicated to reduce the risk for weight regain after prior weight loss. (1)	
diabetes mellitus	Pioglitazone	DB01132	0	1	0,817457	Pioglitazone hydrochloride tablets are a thiazolidinedione and an agonist for peroxisome proliferator-activated receptor (PPAR) gamma indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings. (1.1, 14) Important Limitation of Use: Not for treatment of type 1 diabetes or diabetic ketoacidosis. ( 1.2)	
diabetes mellitus	Rosiglitazone	DB00412	0	1	0,974061	AVANDIA is a thiazolidinedione antidiabetic agent indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. (1) (1) Important Limitations of Use: (1) AVANDIA should not be used in patients with type 1 diabetes mellitus or for the treatment of diabetic ketoacidosis. (1.2) Coadministration of AVANDIA and insulin is not recommended. (1.2, 5.3) Use of AVANDIA with nitrates is not recommended. (1.2, 5.2)	
diabetes mellitus	Tolazamide	DB00839	0	1	NA	Tolazamide tablets are indicated as an adjunct to diet to lower the blood glucose in patients with noninsulin-dependent diabetes mellitus (Type II) whose hyperglycemia cannot be satisfactorily controlled by diet alone. In initiating treatment for noninsulin-dependent diabetes, diet should be emphasized as the primary form of treatment. Caloric restriction and weight loss are essential in the obese diabetic patient. Proper dietary management alone may be effective in controlling the blood glucose and symptoms of hyperglycemia. The importance of regular physical activity should also be stressed and cardiovascular risk factors should be identified and corrective measures taken where possible. If this treatment program fails to reduce symptoms and/or blood glucose, the use of an oral sulfonylurea or insulin should be considered. Use of tolazamide must be viewed by both the physician and patient as a treatment in addition to diet and not as a substitute for diet or as a convenient mechanism for avoiding dietary restraint. Furthermore, loss of blood glucose control on diet alone may be transient thus requiring only short-term administration of tolazamide. During maintenance programs, tolazamide should be discontinued if satisfactory lowering of blood glucose is no longer achieved. Judgments should be based on regular clinical and laboratory evaluations. In considering the use of tolazamide in asymptomatic patients, it should be recognized that controlling the blood glucose in noninsulin-dependent diabetes has not been definitely established to be effective in preventing the long-term cardiovascular or neural complications of diabetes.	
diabetes mellitus type 1	Insulin Aspart	DB01306	0	1	0,798013	NovoLog is an insulin analog indicated to improve glycemic control in adults and children with diabetes mellitus ( ). 1.1	
diabetes mellitus type 1	Insulin Lispro	DB00046	0	1	0,650602	Humalog Mix75/25, a mixture of 75% insulin lispro protamine suspension and 25% insulin lispro injection, (rDNA origin), is indicated in the treatment of patients with diabetes mellitus for the control of hyperglycemia. Humalog Mix75/25 has a more rapid onset of glucoselowering activity compared with Humulin 70/30 while having a similar duration of action. This profile is achieved by combining the rapid onset of Humalog with the intermediate action of insulin lispro protamine suspension.	
diabetes mellitus type 2	Acarbose	DB00284	0	1	NA	Acarbose tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.	
diabetes mellitus type 2	Atorvastatin	DB01076	0	0	0,770992	LIPITOR is an inhibitor of HMG-CoA reductase (statin) indicated as an adjunct therapy to diet to: Reduce the risk of MI, stroke, revascularization procedures, and angina in patients without CHD, but with multiple risk factors (1.1). Reduce the risk of MI and stroke in patients with type 2 diabetes without CHD, but with multiple risk factors (1.1). Reduce the risk of non-fatal MI, fatal and non-fatal stroke, revascularization procedures, hospitalization for CHF, and angina in patients with CHD (1.1). Reduce elevated total-C, LDL-C, apo B, and TG levels and increase HDL-C in adult patients with primary hyperlipidemia (heterozygous familial and nonfamilial) and mixed dyslipidemia (1.2). Reduce elevated TG in patients with hypertriglyceridemia and primary dysbetalipoproteinemia (1.2). Reduce total-C and LDL-C in patients with homozygous familial hypercholesterolemia (HoFH) (1.2). Reduce elevated total-C, LDL-C, and apo B levels in boys and postmenarchal girls, 10 to 17 years of age, with heterozygous familial hypercholesterolemia after failing an adequate trial of diet therapy (1.2). Limitations of Use LIPITOR has not been studied in Fredrickson Types I and V dyslipidemias.	Reduce the risk of MI and stroke in patients with type 2 diabetes without CHD, but with multiple risk factors
diabetes mellitus type 2	Chlorpropamide	DB00672	0	1	NA	Chlorpropamide tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.	
diabetes mellitus type 2	Gliclazide	DB01120	0	0	0,83871		No corresponding FDA label
diabetes mellitus type 2	Glimepiride	DB00222	0	1	0,866197	Glimepiride is a sulfonylurea indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus (1). Important Limitations of Use: Not for treating type 1 diabetes mellitus or diabetic ketoacidosis (1.1).	
diabetes mellitus type 2	Glyburide	DB01016	0	1	0,847742	Glyburide tablets, USP are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.	
diabetes mellitus type 2	Insulin Aspart	DB01306	0	1	0,888179	NovoLog is an insulin analog indicated to improve glycemic control in adults and children with diabetes mellitus ( ). 1.1	
diabetes mellitus type 2	Insulin Lispro	DB00046	0	1	0,831818	Humalog Mix75/25, a mixture of 75% insulin lispro protamine suspension and 25% insulin lispro injection, (rDNA origin), is indicated in the treatment of patients with diabetes mellitus for the control of hyperglycemia. Humalog Mix75/25 has a more rapid onset of glucoselowering activity compared with Humulin 70/30 while having a similar duration of action. This profile is achieved by combining the rapid onset of Humalog with the intermediate action of insulin lispro protamine suspension.	
diabetes mellitus type 2	Irbesartan	DB01029	0	1	0,716981	AVAPRO (irbesartan) is indicated for the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents. AVAPRO is indicated for the treatment of diabetic nephropathy with an elevated serum creatinine and proteinuria (>300 mg/day) in patients with type 2 diabetes and hypertension. In this population, AVAPRO reduces the rate of progression of nephropathy as measured by the occurrence of doubling of serum creatinine or end-stage renal disease (need for dialysis or renal transplantation) (see CLINICAL PHARMACOLOGY: Clinical Studies).	
diabetes mellitus type 2	Liraglutide	DB06655	0	0	0,930909	Saxenda is a glucagon-like peptide-1 (GLP-1) receptor agonist indicated as an adjunct to a reduced-calorie diet and increased physical activity for chronic weight management in adult patients with an initial body mass index (BMI) of 30 kg/m 2 or greater (obese) ( 1) or 27 kg/m 2 or greater (overweight) in the presence of at least one weight-related comorbid condition (e.g. hypertension, type 2 diabetes mellitus, or dyslipidemia) ( 1). Limitations of Use: Saxenda is not indicated for the treatment of type 2 diabetes ( 1). Saxenda should not be used in combination with any other GLP-1 receptor agonist ( 1). Saxenda should not be used with insulin ( 1, 5.4). The effects of Saxenda on cardiovascular morbidity and mortality have not been established ( 1). The safety and efficacy of coadministration with other products for weight loss have not been established ( 1). Saxenda has not been studied in patients with a history of pancreatitis ( 1, 5.2).	Not indicated: Saxenda is not indicated for the treatment of type 2 diabetes
diabetes mellitus type 2	Losartan	DB00678	0	0	0,779221	HYZAAR is indicated for the treatment of hypertension. This fixed dose combination is not indicated for initial therapy of hypertension, except when the hypertension is severe enough that the value of achieving prompt blood pressure control exceeds the risk of initiating combination therapy in these patients (see CLINICAL PHARMACOLOGY, Pharmacodynamics and Clinical Effects, and DOSAGE AND ADMINISTRATION). HYZAAR is indicated to reduce the risk of stroke in patients with hypertension and left ventricular hypertrophy, but there is evidence that this benefit does not apply to Black patients. (See PRECAUTIONS, Race, CLINICAL PHARMACOLOGY, Pharmacodynamics and Clinical Effects, Losartan Potassium, Reduction in the Risk of Stroke, Race, and DOSAGE AND ADMINISTRATION.)	
diabetes mellitus type 2	Metformin	DB00331	0	1	0,83099	Metformin hydrochloride tablets is indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 2 diabetes mellitus.	
diabetes mellitus type 2	Miglitol	DB00491	0	1	0,9375	GLYSET is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.	
diabetes mellitus type 2	Nateglinide	DB00731	0	1	0,860606	Starlix (nateglinide) is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.	
diabetes mellitus type 2	Orlistat	DB01083	0	0	NA	XENICAL is a reversible inhibitor of gastrointestinal lipases indicated for obesity management including weight loss and weight maintenance when used in conjunction with a reduced-calorie diet. (1) XENICAL is also indicated to reduce the risk for weight regain after prior weight loss. (1)	
diabetes mellitus type 2	Pioglitazone	DB01132	0	1	0,847868	Pioglitazone hydrochloride tablets are a thiazolidinedione and an agonist for peroxisome proliferator-activated receptor (PPAR) gamma indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings. (1.1, 14) Important Limitation of Use: Not for treatment of type 1 diabetes or diabetic ketoacidosis. ( 1.2)	
diabetes mellitus type 2	Rosiglitazone	DB00412	0	1	0,957135	AVANDIA is a thiazolidinedione antidiabetic agent indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. (1) (1) Important Limitations of Use: (1) AVANDIA should not be used in patients with type 1 diabetes mellitus or for the treatment of diabetic ketoacidosis. (1.2) Coadministration of AVANDIA and insulin is not recommended. (1.2, 5.3) Use of AVANDIA with nitrates is not recommended. (1.2, 5.2)	
diabetes mellitus type 2	Simvastatin	DB00641	0	0	0,726457	Lipid-altering agents should be used in addition to a diet restricted in saturated fat and cholesterol (see National Cholesterol Education Program [NCEP] Treatment Guidelines, below). In patients with CHD or at high risk of CHD, simvastatin can be started simultaneously with diet. In patients at high risk of coronary events because of existing coronary heart disease, diabetes, peripheral vessel disease, history of stroke or other cerebrovascular disease, simvastatin is indicated to: Reduce the risk of total mortality by reducing CHD deaths. Reduce the risk of non-fatal myocardial infarction and stroke. Reduce the need for coronary and non-coronary revascularization procedures. Simvastatin tablets are indicated to: Reduce elevated total-C, LDL-C, Apo B, and TG, and to increase HDL-C in patients with primary hypercholesterolemia (heterozygous familial and nonfamilial) and mixed dyslipidemia (Fredrickson types IIa and IIb). Treat patients with hypertriglyceridemia (Fredrickson type lV hyperlipidemia). Treat patients with primary dysbetalipoproteinemia (Fredrickson type lll hyperlipidemia). Reduce total-C and LDL-C in patients with homozygous familial hypercholesterolemia as an adjunct to other lipid-lowering treatments (e.g., LDL apheresis) or if such treatments are unavailable. Simvastatin tablets are indicated as an adjunct to diet to reduce total-C, LDL-C, and Apo B levels in adolescent boys and girls who are at least one year post-menarche, 10 to 17 years of age, with heterozygous familial hypercholesterolemia, if after an adequate trial of diet therapy the following findings are present: LDL cholesterol remains  190 mg/dL; or LDL cholesterol remains  160 mg/dL and There is a positive family history of premature cardiovascular disease (CVD) or Two or more other CVD risk factors are present in the adolescent patient. The minimum goal of treatment in pediatric and adolescent patients is to achieve a mean LDL-C < 130 mg/dL. The optimal age at which to initiate lipid-lowering therapy to decrease the risk of symptomatic adulthood CAD has not been determined. Prior to initiating therapy with simvastatin tablets, secondary causes for hypercholesterolemia (e.g., hypothyroidism, nephrotic syndrome, dysproteinemias, obstructive liver disease, other drug therapy, alcoholism) should be excluded, and a lipid profile performed to measure total-C, HDL-C, and TG. For patients with TG less than 400 mg/dL (< 4.5 mmol/L), LDL-C can be estimated using the following equation: LDL-C = total-C  [(0.20 x TG) + HDL-C] For TG levels > 400 mg/dL (> 4.5 mmol/L), this equation is less accurate and LDL-C concentrations should be determined by ultracentrifugation. In many hypertriglyceridemic patients, LDL-C may be low or normal despite elevated total-C. In such cases, simvastatin tablets are not indicated. Lipid determinations should be performed at intervals of no less than four weeks and dosage adjusted according to the patient's response to therapy. The NCEP Treatment Guidelines are summarized in Table 6: CHD, coronary heart disease ome authorities recommend use of LDL-lowering drugs in this category if an LDL-C level of <100 mg/dL cannot be achieved by therapeutic lifestyle changes. Others prefer use of drugs that primarily modify triglycerides and HDL-C, e.g., nicotinic acid or fibrate. Clinical judgment also may call for deferring drug therapy in this subcategory. Almost all people with 0-1 risk factor have a 10-year risk <10%; thus, 10-year risk assessment in people with 0-1 risk factor is not necessary. After the LDL-C goal has been achieved, if the TG is still  200 mg/dL, non-HDL-C (total-C minus HDL-C) becomes a secondary target of therapy. Non-HDL-C goals are set 30 mg/dL higher than LDL-C goals for each risk category. At the time of hospitalization for an acute coronary event, consideration can be given to initiating drug therapy at discharge. The NCEP classification of cholesterol levels in pediatric patients with a familial history of either hypercholesterolemia or premature cardiovascular disease is summarized in Table 7. Since the goal of treatment is to lower LDL-C, the NCEP recommends that LDL-C levels be used to initiate and assess treatment response. Only if LDL-C levels are not available, should the total-C be used to monitor therapy. Simvastatin is indicated to reduce elevated LDL-C and TG levels in patients with Type IIb hyperlipidemia (where hypercholesterolemia is the major abnormality). However, it has not been studied in conditions where the major abnormality is elevation of chylomicrons (i.e., hyperlipidemia Fredrickson types I and V)3.	
diabetes mellitus type 2	Sitagliptin	DB01261	0	1	0,369509	JANUVIA is a dipeptidyl peptidase-4 (DPP-4) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. (1.1) Important Limitations of Use: JANUVIA should not be used in patients with type 1 diabetes or for the treatment of diabetic ketoacidosis. (1.2) JANUVIA has not been studied in patients with a history of pancreatitis. (1.2, 5.1)	
diabetes mellitus type 2	Tolazamide	DB00839	0	1	NA	Tolazamide tablets are indicated as an adjunct to diet to lower the blood glucose in patients with noninsulin-dependent diabetes mellitus (Type II) whose hyperglycemia cannot be satisfactorily controlled by diet alone. In initiating treatment for noninsulin-dependent diabetes, diet should be emphasized as the primary form of treatment. Caloric restriction and weight loss are essential in the obese diabetic patient. Proper dietary management alone may be effective in controlling the blood glucose and symptoms of hyperglycemia. The importance of regular physical activity should also be stressed and cardiovascular risk factors should be identified and corrective measures taken where possible. If this treatment program fails to reduce symptoms and/or blood glucose, the use of an oral sulfonylurea or insulin should be considered. Use of tolazamide must be viewed by both the physician and patient as a treatment in addition to diet and not as a substitute for diet or as a convenient mechanism for avoiding dietary restraint. Furthermore, loss of blood glucose control on diet alone may be transient thus requiring only short-term administration of tolazamide. During maintenance programs, tolazamide should be discontinued if satisfactory lowering of blood glucose is no longer achieved. Judgments should be based on regular clinical and laboratory evaluations. In considering the use of tolazamide in asymptomatic patients, it should be recognized that controlling the blood glucose in noninsulin-dependent diabetes has not been definitely established to be effective in preventing the long-term cardiovascular or neural complications of diabetes.	
